hai,hey
aku,"I, me"
ya,yes
ini,this
oke,OK
yang,"The one who, the thing which"
udah,"(perfective aspect, indicating that the process has been accomplished)"
itu,"that, those"
nggak,no (Jakarta slang)
ada,"there is, there are"
sih,(particle used to soften questions)
bisa,"can, be able to"
di,"in, at, upon"
enggak,no (Jakarta slang)
kita,(inclusive) we
kamu,you (informal)
kalau,if
lagi,again
mau,"want, wish"
apa,"what, which"
nih,this one
aja,just
gitu,I see
tuh,"it, that, those (informal)"
iya,yeah
kalian,you guys
jadi,"become, so, finished"
kayak,"like, as if"
banget,"very, extremely"
ke,"to, towards"
dulu,"previously, before"
juga,"Also, too, even if, anyway"
gimana,How
kan,"Idiolect, would, shortened form of akan"
deh,Idiolect (Jakarta)
tadi,"Earlier, a while ago"
tapi,But
nah,"Well!, here!, see now!"
tahu,Know
sini,Here
dari,"From, out of, starting from or at, than"
jangan,"Do not, should not"
terus,"Direct, straight, immediately, continue, keep on, next, then"
mana,"Where, which, how, what kind"
aduh,"Ouch!, ow!"
kenapa,Why
dan,and
kok,"Idiolect, shuttlecock, bird, birdie, shuttle"
kau,"You, thee, thou"
sama,"Same, equal"
harus,"Have to, must"
kasih,"Love, affection"
ayo,"Let's go, come on"
dia,"She, her, he, him"
bukan,"Not, no (with nouns, pronouns)"
nanti,"Later, presently"
tidak,"not, non"
semua,All
masih,"Still, yet"
pakai,"By means of, with, wear"
saya,"I, me"
coba,"Attempt, try"
belum,Not yet
halo,Hello
punya,"Have, possess"
nya,"Her, his, its (suffix)"
bikin,"Cause, make"
karena,"Because, since"
satu,One
mati,"Be dead, die, go out, stop, fixed"
gak,no
ngomong,"talk, say"
hehehe,laughing sound
yo,Yo
siapa,"Who, whose, whom"
lebih,"More, more than"
dong,"(A mild way of emphasizing something, used at the end of a sentence)"
atau,"alias, a.k.a., also known as"
banyak,"A lot of, many, much"
buat,"Do, make, create, for"
untuk,"For, on behalf of, in order to"
orang,"Person, one, people in general"
boleh,"Can, be able, may"
sekarang,"Now, nowadays"
sudah,"Already, past, last, all right, OK"
ni,"nickel, ni, atomic number 28"
emang,Indeed
loh,"You (Jakarta slank), loh can also mean similar to ""huh ?"""
mungkin,Possible
sampai,"As far as, till, until, arrive"
terima,Acceptance
lah,"(Suggesting action, showing agreement) (suffix)"
lihat,"See, refer to"
makasih,thanks
cuma,"Merely, only, but"
makan,Eat
butuh,Need
hah,huh
salah,"Fault, mistake, wrong"
maaf,"Excuse, forgive, pardon, ask permission to leave"
suka,"Like, be fond of, joy, pleasure"
kali,Time
gini,"like this, (""gini caranya"") here is how"
baru,"New, recent, only then, not until, to be about to"
dengan,"With, and, by, using"
paling,The most
bentar,just a moment
apa-apa,What's the matter?
hari,Day
soalnya,The thing is ~
kayaknya,maybe
biar,"Let, permit, so that, although"
gila,crazy
akan,"Will, about to, about, regarding"
sekali,"Very, absolutely"
langsung,"Direct, straight, immediately"
ngasih,give
pernah,"Ever, once"
mo,
doang,only
naik,"Climb, go up, ride"
habis,"Finished, end, after that, then, completely, entirely"
tidur,"Sleep, go to sleep"
indonesia,Indonesia
bagus,"Beautiful, fine"
baca,To read
disini,here
memang,"You're right, that's true, indeed"
tak,"No, not"
sendiri,"Self, own, by yourself"
namanya,Her/his name
om,Uncle
ngapain,what are you doing
begitu,"Like that, so, very, as soon as"
tolong,"Help, please"
maksudnya,it means
semuanya,Of it/them all
sabar,"Calm, patient"
mereka,"Their, them, they"
yuk,"Come on, let's go"
keren,cool
pasti,"Certain, definite, confirm, decide"
yah,"Idiolect, similar to oh well"
ambil,To take
dua,Two
sangat,very
hei,Hey
pengen,want to
woi,"Woi ""used when calling someone you are familiar"""
susah,difficult
enak,"Delicious, tasty, well, nice, pleasant, at ease, comfortable"
atas,"on, top, up"
gue,I
jam,"Hour, o'clock, time for doing, watch"
masuk,enter
wah,"Wow, Expression of amazement"
udahlah,never mind
air,"Water, liquid, juice"
misalnya,for example
bener,"right, true"
usah,"combine with ""gak usah"" that means ""don't"""
sebenarnya,actually
tunggu,Wait
lupa,Forget
just,Just
lain,"Another, other, different, not including"
ia,"he, she"
ngerti,understand
bilang,Say
balik,turn around
dah,"done, bye"
katanya,he said
makanya,"Consequently, because of that, no wonder!"
situ,there
minum,Drink
pada,"At, on, in"
lu,You
depan,front
nama,name
si,(Definite article used with names or nicknames)
bawah,"below, under"
pas,"Be the right size, exactly, document, pass"
serius,serious
mulai,start
saja,"Only, just, nothing else than, exactly"
ntar,later
semangat,"Enthusiasm, spirit, morale, zest"
rumah,House
waktu,time
pak,Sir
kayla,Kayla.
berarti,means
adalah,is
nonton,watch
jalan,"street, road"
bu,Miss
kobo,Kobo
mundur,Retreat
pokoknya,the main thing is
takut,Be afraid
berapa,"how many, how much"
besok,Tomorrow
baik,good
suara,voice
betul,"Correct, right, true, really, very"
hanya,"Just, only, however"
biasa,normal
cara,"Manner, method, way, fashion, style"
oleh,by
teh,"tea, can also means calling older woman (Sundanese)"
mbak,older woman titles (Javanese)
bingung,"Bewildered, confused, panicky"
bakal,will
selesai,done
sana,there
cepet,fast
ayah,Father
gede,Big
apaan,what (annoyed)
siap,ready
lucu,funny
tinggal,"Live, stay, remain, be left"
ternyata,it turns out
mah,"Calling mom, ""ini mah"" this is just"
waduh,Oh no
kah,"Idiolect, says to confirm things, ""ini kah?"" is this it ?"
harusnya,Should be
cukup,"Enough, sufficient, quite"
cepat,fast
dalam,"in, inside"
kurang,not enough
keluar,go out
buka,open
kiri,left
beneran,It's true
mami,Mommy
jatuh,fall
kecil,small
kemana,where to
hilang,is lost
cat,Paint
na,"sodium, na, atomic number 11"
benar,correct
cari,search
bohong,"To lie, to tell a lie"
anda,"You, your, yours"
lanjut,carry on
tempat,the place
begini,like this
ikan,"Fish, meat"
turun,down
kemarin,yesterday
kak,Older sister or brother
terlalu,too
donna,
masa,Period
hidup,life
dapat,could
santai,relaxed
sakit,sick
akhirnya,Eventually
perlu,need
belakang,behind
malam,nocturnal
seperti,as
dimana,where
semoga,hopefully
sebentar,a moment
kokh,"TYPO, Firm, solid, strong"
beli,buy
bahasa,Language
lewat,"pass, through"
warna,color
lama,long time
tiga,three
apakah,is
aneh,strange
tenang,calm
pagi,morning
astaga,good grief
merah,red
lalu,then
pulau,Island
udah-udah,"Already, done"
gua,"Me, I, cave"
datang,come
menjadi,Becomes
penting,important
jauh,far
selalu,always
cuman,Only
ndak,not
saat,"moment, while"
tetap,permanent
kanan,right
huhuhu,Hu Hu Hu
pergi,go
cerita,story
kami,(exclusive) we
pun,even (suffix)
caranya,the method
bangun,wake up
hujan,rain
kapan,when
nanya,asking
ketemu,meet
luar,"outside, beyond"
anak,child
tengah,middle
aman,safe
donasinya,donation
biasanya,usually
kata,say
hihihi,Hihihi
ketawa,Laugh
neng,Calling younger woman
setelah,after
allah,God
senpai,Senpai
plastik,plastic
makanan,food
makin,more and more
tinggi,tall
sering,often
bawa,bring
sambil,while
daun,Leaf
mata,eye
disitu,There.
pencet,"push, press"
bisa-bisa,can
bareng,with
ampun,Forgiveness
bang,Bang
tutup,closed
kek,Laughing
kesini,get over here
ngetik,Typing
lari,run
de,
kambing,goat
taruh,put
tiba-tiba,suddenly
batu,stone
yaudah,okay then
malah,rather
mas,Title for man in their 20's to 40's
kena,"Hit, got you"
selamat,safe
hiu,shark
ganti,change
hampir,almost
putih,white
tet,Tet.
laut,Sea
tahun,year
ngambil,Take
minta,ask for
ibu,Mother
nenek,grandmother
ingin,want
bintang,star
kubu,"Stronghold, team"
agak,rather
apalagi,especially
pertama,first
yaitu,that is
tau,know
tanya,ask
belajar,study
pintu,door
bapak,father
jika,"in case, just in case"
fikri,
sebelum,before
sesuatu,something
serem,Scary
inget,remember
tes,test
masalah,problem
parah,critical
ada-ada,Silly
maju,proceed
kowe,You
melihat,"Seeing, looking"
dikit,little
hal,Thing
minggu,week
percaya,believe
suaranya,"his voice, her voice"
seru,exciting
ininya,This is (Suffix nya)
dapet,Dapet
donasi,donation
weh,Informal way of calling someone
beda,different
biru,blue
really,Really
nangis,cry
sayang,Dear
pulang,go home
nyanyi,singing
mohon,please
ela,"Idiolect, person name"
hati,"liver, ""hati-hati"" means careful"
kelihatan,Looks like
ii,
nomor,number
lainnya,other
bener-bener,really
ting,Ting
diri,self
awas,watch out
kenal,know
bukannya,instead
mari,let us
para,TYPX
setiap,every
ikut,follow
maunya,wants
sore,afternoon
kerja,work
kuning,yellow
nyari,Looking for
marah,angry
empat,four
kalo,if
gara-gara,Because of
dragon,dragoon
es,ice
kapal,boat
burung,bird
kadang,sometimes
kayu,wood
cantik,beautiful
koe,
kaya,rich
ku,my
mandi,bath
okelah,Okay
terakhir,final
ulang,repeat
okay,Okay.
biji,seed
dek,"Calling someone younger, deck"
kucing,cat
capek,tired
nunggu,waiting
jelas,clear
cek,check
mobil,car
kaget,startled
nene,TYPO
teteh,Older woman title (Sundanese)
fokus,focus
where,WHERE
sebagai,as
brush,Brush.
mulu,always
sedang,currently
ga,Ga
jangan-jangan,perhaps
atuh,"Idiolect, Ouch"
lagu,song
mudah,easy
awal,beginning
jelek,bad
menit,minute
jadinya,so
fishing,Fishing
asyik,fun
yoru,
mainnya,play
diambil,Taken
kirim,send
duit,money
tentang,about
muncul,appear
males,lazy
foto,photo
hari-hari,days
toh,Idiolect
benar-benar,truly
more,
itunya,That thing
kasihan,pity
sepatu,shoe
seneng,Happy
setengah,half
rezeki,Blessing
ama,With
