hai	hey
aku	I
ya	yes
ini	this
oke	OK
yang	that ~, which ~, the one
udah	finished
itu	that, those
nggak	no (Jakarta slang)
ada	there is, there are
di	in, at, upon
sih	(particle used to soften questions)
bisa	can, be able to
kita	(inclusive) we
enggak	no (Jakarta slang)
kamu	you (informal)
mau	want, wish
kalau	if
lagi	again
apa	what, which
nih	this one
aja	just
gitu	I see
tuh	it, that, those (informal)
kalian	you guys
iya	yeah
jadi	become, so, finished
banget	very, extremely
kayak	like, as if
ke	to, towards
juga	Also, too, even if, anyway
dulu	previously, before
deh	Idiolect (Jakarta)
gimana	How
kan	Idiolect, would, shortened form of akan
tapi	but
tadi	Earlier, a while ago
nah	Well!, here!, see now!
sini	Here
tahu	Know
mana	where, which, how
dari	from, out of, starting from or at, than
jangan	do not, should not
terus	direct, straight, immediately, continue, keep on, next, then
aduh	ouch!, ow!
kok	Idiolect, shuttlecock, bird, birdie, shuttle
dan	and
kau	you, thee, thou
kenapa	why
sama	same, equal
ayo	let's go, come on
tidak	not, non
nanti	later, presently
harus	have to, must
bukan	not, no (with nouns, pronouns)
kasih	love, affection
pakai	by means of, with, wear
masih	still, yet
dia	she, her, he, him
semua	all
belum	not yet
halo	hello
punya	have, possess
saya	I
yo	yo
coba	try
nya	her, his, its (suffix)
hehehe	laughing sound
satu	one
karena	because, since
dong	(A mild way of emphasizing something, used at the end of a sentence)
gak	no
bikin	cause, make
mati	be dead, die, go out, stop, fixed
siapa	who, whose, whom
lebih	more, more than
ngomong	talk, say
buat	do, make, create
untuk	for, on behalf of, in order to
atau	or
sudah	already, past, last, all right
banyak	many, a lot of, much
orang	person, one, people in general
boleh	may, can, be able
makasih	thanks
lihat	see, refer to
sekarang	now, nowadays
emang	indeed
sampai	until, till, as far as, arrive
loh	you (Jakarta slang), loh can also mean similar to 'huh?'
lah	(suggesting action, showing agreement, suffix)
mungkin	possible
makan	eat
cuma	merely, only, but
hah	huh
suka	like, be fond of, joy, pleasure
kali	time
terima	acceptance of
butuh	need
gini	"like this, (""gini caranya"") here is how"
maaf	sorry, excuse, forgive, pardon, ask permission to leave
salah	fault, mistake, wrong
dengan	with, by, using
ni	nickel, ni, atomic number 28
baru	new, recent, only then, not until, to be about to
apa-apa	what's the matter?
soalnya	the thing is ~
akan	will, about to, about, regarding
bentar	just a moment
kayaknya	maybe
hari	day
biar	let, permit, so that, although
sekali	very, absolutely
gila	crazy
ngasih	give
paling	the most
langsung	direct, straight, immediately
indonesia	Indonesia
doang	only
pernah	ever, once
mereka	their, them, they
habis	finished, end, after that, then, completely, entirely
om	uncle
disini	here
tidur	sleep, go to sleep
memang	you're right, that's true, indeed
namanya	her/his name (nama with -nya)
keren	cool
naik	climb, go up, ride
ngapain	what are you doing
tak	no, not
yah	(Idiolect) similar to oh well
bagus	beautiful, fine
pasti	certain, definite, confirm, decide
pengen	want to
begitu	like that, so, very, as soon as
atas	on, top, up
yuk	come on, let's go
sangat	very
balik	turn around
baca	read
semuanya	of it/them all
sendiri	own, by yourself
maksudnya	it means
hei	hey
dua	two
ambil	to take
woi	"Woi ""used when calling someone you are familiar"""
wah	Wow, Expression of amazement
gue	I
lupa	Forget
tolong	help, please
sabar	calm, patient
susah	difficult
tunggu	Wait
air	Water, liquid, juice
enak	Delicious, tasty, well, nice, pleasant, at ease, comfortable
bener	right, true
jam	Hour, o'clock, time for doing, watch
pada	At, on, in
usah	"combine with ""gak usah"" that means ""don't"""
udahlah	never mind
masuk	enter
lain	Another, other, different, not including
ia	he, she
misalnya	for example
sebenarnya	actually
bawah	below, under
si	(Definite article used with names or nicknames)
just	Just
saja	Only, just, nothing else than, exactly
bilang	Say
ngerti	understand
lu	You
situ	there
katanya	he said
nama	name
dah	done, bye
minum	Drink
berarti	means
waduh	Oh no
rumah	House
makanya	Consequently, because of that, no wonder!
baik	good
besok	Tomorrow
depan	front
ntar	later
mulai	start
berapa	how many, how much
jalan	street, road
pas	Be the right size, exactly, document, pass
adalah	is
waktu	time
teh	tea, can also means calling older woman (Sundanese)
nonton	watch
hanya	Just, only, however
pokoknya	the main thing is
biasa	normal
lucu	funny
tinggal	Live, stay, remain, be left
kobo	Kobo
pak	Sir
cara	Manner, method, way, fashion, style
